artist_id,artist_name,genre,followers
7EVlq3yUVHbHZZsaYSOcXt,Meaningful Stone,"['k-indie', 'korean indie folk']",62083
07OePkse2fcvU9wlVftNMl,SE SO NEON,"['k-indie', 'korean city pop', 'korean indie rock']",218718
5KOhn3Gjbd4DUavli5No5f,cotoba,"['k-indie', 'korean indie rock', 'korean shoegaze']",9190
5q9adPv91NFr8q2ZcKmX0V,youra,['k-indie'],104990
1cDDtQ75Yz5Xi9sA16wl3N,Lee Yerin,['k-indie'],12080
5wVJpXzuKV6Xj7Yhsf2uYx,HANRORO,['k-indie'],14585
3txAiGYUmI4p84stqOoi1s,Dasutt,"['k-indie', 'korean indie rock']",52229
7eZbNxarrTW4VkRI8u9aDX,Parannoul,"['hyper-rock', 'korean indie rock', 'korean shoegaze']",81574
6S4fsREHT1NEjTb3lYD2pG,THORNAPPLE,"['k-indie', 'korean indie rock', 'korean shoegaze']",32081
0fx546FEiZSwGoSbuMnsmN,Della Zyr,"['hyper-rock', 'korean shoegaze']",7786
2EYqI6r8FBAU5HtNEveQ3h,Wapddi,[],1002
2jnsD97skwkkrQ4EigPcTp,Fin Fior,[],342
74om4qLxb9MIsubhtvxQQJ,Asian Glow,"['5th wave emo', 'hyper-rock', 'korean indie rock']",36393
5kNGExA70Z5twMjo7mFYrW,BrokenTeeth,['korean shoegaze'],5102
2IJQZNh2eIR9a21uq494UA,MEMI,[],67852
14d5KCX9nprUcxnKIShrr1,MASS OF THE FERMENTING DREGS,"['japanese emo', 'japanese post-rock', 'japanese shoegaze']",123751
0FXxQ0TEYtebM8gGg0xdoC,Number Girl,"['j-rock', 'japanese alternative rock', 'japanese post-hardcore', 'kyushu indie']",164751
5IKKS7LhpdlmMwqIagqf3f,tricot,"['japanese math rock', 'japanese post-rock', 'math rock']",184270
2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,"['j-pop', 'j-rock']",1715635
